ID,prompt,response,label,lang,augment_type
82,belt,Nn animal leash,1,,mispell
189,wheelbarrow,practice to talk to new people,1,,didnt understand different dataset
2153,rope,ldver Mo pull/load things,1,,mispell
30,book,rehding book,1,,mispell
30078,brick,weight to hold something down,0,english,
108,lighter,MELT,0,english,
27,trumpet,blow,0,english,
110,nuclear box,as a tealight holder,0,english,
163,hair dryer,"idk, sorry.",1,,dont know
3030,hat,computer programme,1,,didnt understand different dataset
29,tongs,"idk, sorry.",1,,dont know
40,chair,pile,1,english,
48,brick,Banquetas,1,english,
126,nuclear box,kiken,1,english,
10018,brick,churches,0,english,
30037,brick,construction for a,1,,strip
185,tin cans,UsinH in in the transplant process,1,,mispell
253,knife,Scisso,1,,strip
177,belt,design better ways to burn,1,,didnt understand different dataset
1631,knife,price giving for recycling,1,,didnt understand different dataset
10182,knife,use it as a protector from things,0,english,
595805,brick,Build,0,english,
10,glove,impersonalities wokowi microchiria daedalic,1,,random multi word
65,wheelbarrow,moving means,0,english,
627,brick,"Build houses, buildings",0,english,
30025,brick,building a dog house,0,english,
1680,stone,Huis van Bouwen,1,english,
30030,brick,using different types of vehicles,1,,didnt understand different dataset
174,hair dryer,Warm with it in winter,0,english,
6,nuclear box,Pin box,0,english,
75,nuclear box,Ls i Hurder tooK,1,,mispell
10103,knife,to kill,0,english,
18,bed,make,0,english,
11,trumpet,let,1,english,
215,nuclear box,drink,0,english,
274,knife,Open the fille,1,,strip
163,nuclear box,As a jewelry container,0,english,
149,tin cans,Use it for kitchen purposes,0,english,
10189,brick,"bricks are also used for, crime activities: breaking windows, and causing damage to property",0,english,
237,fork,I've had enough lol,1,,dont know
45,nuclear box,drinking vessel,0,english,
272,knife,bartending and bartending jam,1,,random multi word
671,towel,Dry -off plates,0,english,
177,belt,To dress better an outfit (exam,1,,strip
30,book,reading book,0,english,
6,shovel,dig out,0,english,
30,belt,"I'm drained, lol.",1,,dont know
2019,rope,decorati,1,,strip
315,stone,building material,0,english,
20032,rope,Jumf roping,1,,mispell
1234,stone,Bricklay,0,english,
171,knife,more trash cans in the area that are eye-catching,1,,didnt understand different dataset
30023,brick,Pdojectile,1,,mispell
30082,brick,building supply,0,english,
1130,stone,You can use it to build a house,0,english,
2019,rope,decorbtion,1,,mispell
206,stone,improve traffic light system,1,,didnt understand different dataset
60000,brick,Hitting someone's heads time,0,english,
81,wheelbarrow,Go shopping,0,english,
103,hair dryer,gambogian nawabship,1,,random multi word
30024,brick,Uire stone,1,,mispell
267,nuclear box,support,0,english,
102,tin cans,Use it in the kitchen,0,english,
101,basket,uncalcareous,1,,random multi word
412193,can,incentive to bring the used plastic bags to be retuned to its manufacturer,1,,didnt understand different dataset
77,fork,showing difficult words and then ask the person to say them,1,,didnt understand different dataset
20037,rope,I'm drained,1,,dont know
450846,brick,get tired,1,english,
1,wheelbarrow,courages chaetodont,1,,random multi word
64,stone,Shout,0,english,
9,lighter,set fire to som,1,,strip
20050,rope,tiS semeone up with,1,,mispell
4,tongs,gentiledom alertest cocksy tool box,1,,random multi word
101342,brick,For the construction of the fence,0,english,
23,wardrobe,Keep shoes in it,0,english,
32,lighter,light a fire,0,english,
65151,brick,Make a head,0,english,
77,knife,Garden circumcisio,1,,strip
274,nuclear box,less use of carbon compounds as fuel source,1,,didnt understand different dataset
29,table,siq arounl tje table,1,,mispell
10144,knife,"I'm done trying, TBH.",1,,dont know
30122,brick,A door st,1,,strip
208,nuclear box,Yor shootiKg for balls,1,,mispell
22,table,turn off,1,english,
287,nuclear box,tznnis,1,,mispell
1631,knife,metamerically vegetoalkaline him,1,,random multi word
88,nuclear box,memory ball,0,english,
663,stone,postdiluvian,1,,random multi word
6,drum,use,1,english,
14,stone,instructoristovemakerl stovemaker rostovemakerd,1,,random multi word
35,knife,porkwoods,1,,random multi word
2072,box,Art,0,english,
10204,knife,"idk, lol",1,,dont know
33,hair dryer,when you are cold => warming up,0,english,
743,towel,I'm drained,1,,dont know
58,stone,Build home,0,english,
30015,brick,basis of a house foundation,0,english,
2096,rope,turnplate oocystaceae,1,,random multi word
185,nuclear box,animal cage,0,english,
240,belt,Make a tourniquet,0,english,
101342,brick,For building a house,0,english,
114,glove,Covea foH the cold,1,,mispell
10147,brick,door stop,0,english,
12,table,to sit at the table,0,english,
86,bottle,Drink,0,english,
131,stone,Wall up,0,english,
10118,brick,fence,0,english,
10,brick,build a gate,0,english,
32,lighter,"idk, man",1,,dont know
2003,box,Shipping tool,0,english,
339847,brick,for masonry,0,english,
355,stone,build a house,0,english,
1701,stone,driveway,0,english,
44,flute,stow,0,english,
48,stone,prefecundation,1,,random multi word
743,towel,d,1,,strip
509,towel,dry*,0,english,
2163,box,Fort,0,english,
20057,box,Installing renewable energy sources in home e.g solar panel,1,,didnt understand different dataset
239,wheelbarrow,Low-Carbon,1,,didnt understand different dataset
40,rope,pulling,0,english,
60000,brick,horribility coelomocoela thermosiphon watercress doaty othermosiphonrs,1,,random multi word
167,belt,dauerschlaf forbearingness hieratica a whip,1,,random multi word
150,nuclear box,As a throwing object,0,english,
85,knife,open door,0,english,
115,tin cans,Use it in agriculture,0,english,
10096,brick,"a walkway, or",1,,strip
407,jar,1 dime,1,english,
1881,stone,village,0,english,
22,tongs,"I'm not sure, lol.",1,,dont know
47,stone,Throw in the window,0,english,
30,stone,w,1,,strip
43,fork,eating food,0,english,
37,bottle,drink,0,english,
24,nuclear box,Put the pencils in,0,english,
49,axe,chop wood,0,english,
8,shovel,equidimensional dig,1,,random multi word
41,saw,Saw woo,1,,strip
148,box,store clothing away,0,english,
53,table,ramps,1,,didnt understand different dataset
10115,knife,spread butte,1,,strip
23,stone,Wall for a house,0,english,
468,fork,use to puncture something,0,english,
119,hair dryer,bourgeoisie propanol phenylacetamide a murder weapon,1,,random multi word
2154,rope,lyas resoap,1,,random multi word
2191,box,a stepping stool,0,english,
19,hair dryer,throw ,1,,strip
86,tire,point withdrawal,1,english,
618,brick,bake,0,english,
261,knife,Remove dirt,0,english,
102,tin cans,I'm drained,1,,dont know
10189,brick,people use them to ,1,,strip
132,tin cans,I've had enough lol,1,,dont know
10200,brick,build a clumb of bricks,0,english,
15,violin,make m,1,,strip
30034,brick,iJ can be used to have anything stand higher when needed.,1,,mispell
563,towel,sugarplums spittles water,1,,random multi word
112,tin cans,Save spices and wa,1,,strip
30113,brick,a can be used as a door stopper,0,english,
729,fork,egg,0,english,
80,wheelbarrow,Qse iw os a shopping shopping,1,,mispell
2057,rope,pulling someone out of a hole,0,english,
30014,brick,door stop,0,english,
281,knife,"I have no idea, lol.",1,,dont know
2,hair dryer,dry trousers dry,0,english,
236,nuclear box,install timers on lights,1,,didnt understand different dataset
80,bottle,ramps depending on the height of stairs are also useful,1,,didnt understand different dataset
131,bottle,Contains water and other liquids,0,english,
22,pea,Sign Language,1,,didnt understand different dataset
221,wheelbarrow,Bottle and Can Disposal systems which offer incentives,1,,didnt understand different dataset
30052,brick,Reduce the number of single-use plastic packaging items,1,,didnt understand different dataset
36,stone,housing,0,english,
6,drum,sell,0,english,
118,glove,Don't get your hand dirty,0,english,
267,nuclear box,Jewelry,0,english,
11,table,bring away,0,english,
30,basket,magazine collector,0,english,
30051,brick,To build stairs,0,english,
44,saw,split up,0,english,
2171,rope,tying stuff,0,english,
20063,rope,tie something to the top of a car,0,english,
86,knife,socialize,0,english,
502,fork,poke,1,,strip
21,wheelbarrow,Stroller,0,english,
10135,brick,to build a wall,0,english,
93967,can,tin,0,english,
355,stone,bibliophilist loveliest msualocinchable sualocin all,1,,random multi word
131515,can,It can be used as a flower vase,0,english,
61,table,eating,0,english,
115,tin cans,vamp immanentist rd agriculture,1,,random multi word
10158,knife,choloscopy,1,,random multi word
13,wheelbarrow,aransport Xf people,1,,mispell
6,nuclear box,Office utensil,0,english,
80,belt,Use as an accessory,0,english,
190,knife,PSrt of a costume,1,,mispell
106,nuclear box,kick,0,english,
61,table,I don't know,1,,dont know
168,box,brain wave communication association,1,,didnt understand different dataset
11,paprika,"Beats me, lmao",1,,dont know
35,violin,expropriating,1,,random multi word
55,paprika,fry,0,english,
36,stone,ho,1,,strip
3,saw,"I'm not sure, lol.",1,,dont know
10078,brick,leviticalismrbitrleviticalismtions lithophilous leviticalism operability,1,,random multi word
112,tin cans,Save spices and water,0,english,
30023,brick,Projectile,0,english,
20098,rope,cattle,0,english,
10027,knife,cut a tire,0,english,
30068,brick,unaccidentally therein spayad,1,,random multi word
80,tire,car,0,english,
50,chair,mo,1,,strip
163,nuclear box,glstapledcistapledble stapled sstapleducepstapledn,1,,random multi word
22,shovel,dig,0,english,
33,hair dryer,when you are cold => warming,1,,strip
115,tin cans,vamp immanentist rd agriculture,1,,random multi word
599,brick,Make a fence,0,english,
11,paprika,culminate,1,english,
1856,stone,build houses,0,english,
43,tongs,Loose a screw with it,0,english,
18,bed,Number plate pass,1,,didnt understand different dataset
1218,stone,gatew,1,,strip
10126,knife,I'm tired of this.,1,,dont know
234,hair dryer,dry socks,0,english,
385609,can,piggy bank,0,english,
10061,knife,Beats me.,1,,dont know
294,hair dryer,specialized class,1,,didnt understand different dataset
79,tin cans,Forming raw ma,1,,strip
60000,brick,TZrow A fight,1,,mispell
127,wheelbarrow,promotion of art/music/ and other non verbal communication methods,1,,didnt understand different dataset
1757VRAH165,rope,cump oveC it,1,,mispell
10189,brick,people use them to outline a garden or something like that for decoration,0,english,
76,wheelbarrow,A way to store your races,0,english,
47,stone,ThOow in the window,1,,mispell
164,hair dryer,"Introduce systems that reward customer for recycling their plastic packaging, so the company can reuse it for different product, and customer can enjoy a discount",1,,didnt understand different dataset
5,tongs,fix something,0,english,
10235,brick,utep,1,,mispell
49,saw,sell,0,english,
347186,brick,"- construction of a wall,",0,english,
210,nuclear box,For crafting,0,english,
10179,knife,a utensil to eat with,0,english,
60000,brick,Break the dishes,0,english,
1631,knife,Cut with him,0,english,
35,violin,voices,1,english,
83,rope,Beats me.,1,,dont know
10102,knife,"I'm over it, NGL.I don't know, sorry.",1,,dont know
148,tin cans,"I'm over it, NGL.I don't know, sorry.",1,,dont know
26,bottle,use of portable crates,1,,didnt understand different dataset
473209,brick,Construction,0,english,
18,chair,sit,0,english,
56,box,promote public transport,1,,didnt understand different dataset
2139,rope,ghenting,1,,random multi word
6,drum,hit,0,english,
118,basket,bwsket oo tZe qell,1,,mispell
54,shovel,"Can't say, sry.",1,,dont know
75202,can,Do nothing.,1,english,
20135,box,"idk, NGL",1,,dont know
64,hair dryer,heat up,0,english,
108,book,improve circulation to avoid traffic forming in high speed areas,1,,didnt understand different dataset
35,violin,buy,0,english,
50,brick,geS M hunch of them Mnd mMke M wMll,1,,mispell
2051,box,fine people who litter,1,,didnt understand different dataset
2004,box,mse it as a chair,1,,mispell
20036,box,move,0,english,
2059,rope,tightro,1,,strip
149,belt,Pants,0,english,
108,lighter,I'm not sure.,1,,dont know
266,nuclear box,means of communication,0,english,
32,chair,lean,0,english,
30068,brick,unaccidentally therein spayad,1,,random multi word
550208,brick,As a crime tool.,0,english,
99,belt,link,0,english,
16,trumpet,play on it,0,english,
12,belt,coparallel,1,,random multi word
18,flute,"Use energy efficient equipment, and lights",1,,didnt understand different dataset
84,hair dryer,Instead of the towel,0,english,
1216,stone,stack,0,english,
141,fork,Install traffic lights,1,,didnt understand different dataset
282,belt,allokurtic,1,,random multi word
20036,box,develop green tariff programs,1,,didnt understand different dataset
48,hair dryer,Warmth of cold feet,0,english,
153,tin cans,Used to ,1,,strip
20037,rope,travel,0,english,
35,tongs,ungacking,1,,mispell
220,brick,Bardes,1,english,
4,tongs,"We should build wind farms in areas where there are consistent wind patterns. That way, we can harness the power of the wind and contribute more renewable energy to our electricity grid.",1,,didnt understand different dataset
40,drum,pFay on it,1,,mispell
13,tire,put on a car,0,english,
152,tin cans,Home decoration,0,english,
2049,box,STed,1,,mispell
54,paprika,puree,0,english,
20,trumpet,accompany,0,english,
239,wheelbarrow,Carry animal people,0,english,
148,knife,us n letter complnint,1,,mispell
2501,hat,Sun of the sun,0,english,
194,stone,"idk, sorry.",1,,dont know
92,hair dryer,Dry the clothing,0,english,
2033,box,jump on it,0,english,
2061,rope,hair tie,0,english,
271,nuclear box,COMPULSORY TWO HANDS HANDLING VEHICLES,1,,didnt understand different dataset
19,flute,music,0,english,
20072,box,storage,0,english,
296,knife,Canceling locks,0,english,
114,knife,high precision Japanese,1,,strip
2085,box,arG,1,,mispell
128,lighter,turn on stove if there is little quantity of gas,0,english,
30011,brick,"No clue, rip.",1,,dont know
252,wheelbarrow,wheelbarrow to move wood or mortar,0,english,
11,book,write,0,english,
239,hair dryer,warm u,1,,strip
12,belt,Bag,0,english,
20098,rope,"idk, man",1,,dont know
449508,can,as a drinking dish,0,english,
12,flute,give away,0,english,
43,box,store,0,english,
30050,brick,could be placed around a bonfire to keep it from spreading,0,english,
2019,rope,decoration,0,english,
229,wheelbarrow,Gardener,0,english,
20021,rope,save a l,1,,strip
118,tin cans,d,1,,strip
10095,knife,culinary uses,0,english,
249,knife,prideful krispies,1,,random multi word
20684,can,Jaku Mug,1,english,
374,stone,You can build with it,0,english,
118,hat,for beauty,0,english,
197,belt,Bvg,1,,mispell
2123,box,table,0,english,
390,stone,school,0,english,
223,nuclear box,make more efficient engines,1,,didnt understand different dataset
86,tin cans,Do the door,1,english,
380,fork,poke someone,0,english,
108,knife,Bicycle Infrastructure,1,,didnt understand different dataset
484,fork,eat,1,,strip
54819,can,incentivize ground transport more,1,,didnt understand different dataset
30092,brick,h,1,,strip
373,stone,st,1,,strip
297,knife,Beats me.,1,,dont know
187,wheelbarrow,Pu,1,,strip
30025,brick,buildin,1,,strip
35,lighter,warC,1,,mispell
126,nuclear box,kGken,1,,mispell
195,hair dryer,Dry nail polish,0,english,
621,can,cans as a ashtray,0,english,
1049,book,browse,0,english,
339220,can,fdower vTse,1,,mispell
37,saw,INCREASE THE USE OF SOLAR POWER AT HOMES,1,,didnt understand different dataset
228,stone,build a city,0,english,
10,brick,tstartlesmstartlesnu startles wstartlesll,1,,random multi word
104,tin cans,Storing,1,,strip
221,wheelbarrow,sor U rUce,1,,mispell
88,hair dryer,Drying fingers nails,0,english,
30082,brick,build,1,,strip
30082,brick,tumultuarily overbitter,1,,random multi word
445862,can,ASHTRAY,0,english,
10,pea,mash,0,english,
12,bed,sof,1,,strip
161,tin cans,Bottle to save flowers,0,english,
267,nuclear box,dighter,1,,random multi word
34,wardrobe,grant,1,english,
670,brick,A fence,0,english,
153,tin cans,Used to drink drinks,0,english,
185,wheelbarrow,"Can't say, sry.",1,,dont know
40,tongs,clear in a too,1,,strip
4,belt,Whip,0,english,
2153,rope,lever to pull/load things,0,english,
30083,brick,"also, no automatic doors",1,,didnt understand different dataset
10,bottle,storing fruit juice,0,english,
347,stone,ruin,0,english,
1051,barrel,conenish,1,,strip
20036,rope,latter,1,english,
10,violin,Create notes,0,english,
16,hair dryer,Make up dry,0,english,
119,tin cans,"idc anymore, RIP.",1,,dont know
205,belt,tax more who uses the car in the big city so they use the bus/metro/bicycle,1,,didnt understand different dataset
266,hair dryer,dry wet clothes,0,english,
11,flute,Whistle,0,english,
20098,rope,tie,0,english,
6,drum,hut,1,,mispell
18,stone,Break,0,english,
114,knife,knife to cut food,0,english,
118,glove,Pedestrian ramps,1,,didnt understand different dataset
30067,brick,building towers,0,english,
11,flute,own,1,english,
116,nuclear box,litter game,0,english,
73,chair,makF a person sit,1,,mispell
108,tin cans,Save grains at home,0,english,
88,nuclear box,speech,0,english,
445862,can,ASHTRbY,1,,mispell
412193,can,Ss aP Sshtray,1,,mispell
272,wheelbarrow,Garden,0,english,
32,hat,Keep in the head,0,english,
11,tongs,fingery sfingeryre,1,,random multi word
112,tin cans,I'm tired of this task.,1,,dont know
509,towel,Jry*,1,,mispell
30027,brick,fight,1,,strip
415,stone,muir,0,english,
40,knife,throw a knife,0,english,
20012,box,organizer,0,english,
33,chair,play with it,0,english,
12,rope,vacherin pulpal a knot,1,,random multi word
120,hair dryer,Dry glue,0,english,
171,nuclear box,button,0,english,
140,tin cans,Make a specific shape,0,english,
38,table,something to eat on,0,english,
648,stone,phosphonate,1,,random multi word
35,bicycle,walkin,1,,strip
136,glove,I give up.,1,,dont know
2062,rope,mskT s tirD sning,1,,mispell
2054,rope,"I'm over it, NGL.I don't know, sorry.",1,,dont know
90,box,open,0,english,
11,shovel,polishing,0,english,
65,hair dryer,Beats me.,1,,dont know
24,tire,for a car,0,english,
747,fork,joiZ fKr dinneQ,1,,mispell
6,saw,hanging,0,english,
109,tin cans,sharp tool,0,english,
10058,brick,patios,0,english,
49,wardrobe,cleaning,0,english,
4,table,take a seat,0,english,
11,shovel,szash,1,,mispell
10059,brick,weight (for holding light materials down),0,english,
10123,brick,door stop,0,english,
453390,can,uup,1,,mispell
2158,rope,shoelace,0,english,
166,knife,unbedaggled opener,1,,random multi word
35,knife,"idc anymore, RIP.",1,,dont know
214,nuclear box,To make noise,0,english,
49,trumpet,wind turbine,1,,didnt understand different dataset
108,nuclear box,Pencil container,0,english,
119,hair dryer,I'm unsure.,1,,dont know
58,nuclear box,I don't know,1,,dont know
210,wheelbarrow,cumulophyric,1,,random multi word
77,bottle,"Not sure, lol.",1,,dont know
88,nuclear box,Submit consolidnoses,1,english,
10074,brick,make steps,0,english,
2154,rope,exercise equipment,0,english,
1223,stone,stone,1,english,
615,fork,To bring food to your mouth without making your hands dirty,0,english,
45,nuclear box,drinaing vejsel,1,,mispell
176,nuclear box,Telephone (connect to cord),0,english,
1010,barrel,wine,0,english,
104,tin cans,Storing certain clothes,0,english,
37,table,eating surface,0,english,
2158,rope,a necklace,0,english,
70,knife,letter complaint,0,english,
10018,knife,"cut meat, vegetables, food products",0,english,
77,knife,Garden circumcision,0,english,
177,belt,To hold your pants,0,english,
10027,knife,eat with,0,english,
149,tin cans,UGe it for kitchen purposes,1,,mispell
20098,rope,Solar panels,1,,didnt understand different dataset
11,shovel,smash,0,english,
91,fork,dinner,0,english,
479,towel,dishwiper nonadditivity artiphyllous,1,,random multi word
185,hair dryer,palaeontol,1,,random multi word
522,fork,eeten,1,english,
1398,stone,"idk, man",1,,dont know
598277,brick,for construction/home,0,english,
185,hair dryer,drum,0,english,
19,flute,musi,1,,strip
108,book,read it,0,english,
167,tin cans,Cultivation,0,english,
30024,brick,fire stone,0,english,
179,hair dryer,"I'm not sure, lol.",1,,dont know
361924,can,As a vessel.,0,english,
274,knife,Open the fille,1,,strip
160,tin cans,Drinking ,1,,strip
10148,knife,sirape um gum,1,,mispell
1819IAMÃ„160,rope,pull on the rope,0,english,
28,brick,Hor,1,,strip
9,paprika,use as a salad insert,0,english,
2151,box,dog house,0,english,
30088,brick,I'm tired of this task.,1,,dont know
88,nuclear box,real time traffic tracking,1,,didnt understand different dataset
630,stone,exhedrae houses,1,,random multi word
119,brick,walls or walls,0,english,
92,hair dryer,Wind for photo shoot,0,english,
190,knife,Part of a costume,0,english,
30059,brick,add extra weight to an object,0,english,
118,hat,for ,1,,strip
10097,brick,build to make steps,0,english,
1632,stone,fl,1,,strip
60000,brick,Fights,0,english,
116,basket,linen door,1,english,
18,axe,Make airplanes lighter and more aerodynamic to reduce fuel consumption.,1,,didnt understand different dataset
2139,rope,ghenting,1,,random multi word
45,axe,pack away,0,english,
10044,knife,galeiform precerebellar biotechs leathering,1,,random multi word
155,nuclear box,pen holder,0,english,
65,stone,cafe brick,0,english,
55,wardrobe,Keep clothes,0,english,
30047,brick,to build a house,0,english,
297,knife,Sound,1,english,
35,tire,bike,0,english,
61,stone,Tx build,1,,mispell
55,tongs,Squeeze things together,0,english,
238,nuclear box,Craft,0,english,
10142,brick,foundations,0,english,
146,nuclear box,Vase,0,english,
20,belt,lethean,1,,random multi word
148,belt,D,1,,strip
4,axe,lift,0,english,
1223,stone,use leaf,1,,didnt understand different dataset
212,stone,build things,0,english,
20098,rope,the rush rock climbing wall,0,english,
416286,can,Develop a portable microphone that those with hearing impairments can bring to social areas. This microphone will be paired to a hearing aid that will help those with hearing impairments hear more clearly in the group.,1,,didnt understand different dataset
217,wheelbarrow,Sleep there,0,english,
2003,box,Shipping,1,,strip
533,brick,To cook pizzas,0,english,
258,hair dryer,Murder weapon,0,english,
77,wheelbarrow,Wheelbar,1,,strip
2048,rope,as a belt,0,english,
23,bed,"idk anymore, sorry man.",1,,dont know
81970,can,Collector of everything,0,english,
177,hair dryer,make from other materials,1,,didnt understand different dataset
32,nuclear box,As pins for bowling,0,english,
37,bottle,"offer reusable cups and bottles at a reduced price, with rewards for u",1,,didnt understand different dataset
140,tin cans,"Can't say, sry.",1,,dont know
33,nuclear box,drinker,0,english,
215,belt,Around a suitcase to prevent it from opening,0,english,
20155,rope,sulfapyrazine extoll immunization a war,1,,random multi word
10142,brick,trim around flowers,0,english,
140,tin cans,Put the trash w,1,,strip
102767,can,plan,1,,strip
20148,rope,Tie something,0,english,
34,wardrobe,gYant,1,,mispell
9,basket,f,1,,strip
10182,knife,ise ct zZ z protectTr frTm things,1,,mispell
768,fork,speci,1,,strip
555941,can,"as a container for objects,",0,english,
28,shovel,use it as a tool to dig a hole,0,english,
30049,brick,swimming with the,1,english,
10,basket,unimpertinent quinol,1,,random multi word
27,coat hangers,to spread,0,english,
20115,rope,use it as a weapon,0,english,
52,table,"idk anymore, sorry man.",1,,dont know
15,violin,Learn to play the violin,0,english,
194,stone,To Build a house,0,english,
383530,brick,as a weapon,0,english,
2057,box,shelter,0,english,
236,nuclear box,rocket holder,0,english,
285,nuclear box,coin collection,0,english,
2061,rope,wind power,1,,didnt understand different dataset
40,knife,Develop a device that automatically converts conversations into text that can displayed on a live screen in the area. This would allow those with hearing impairments to read on the screen and participate in conversation.,1,,didnt understand different dataset
145,hair dryer,voice to text software that can allow them to read what is being said in the group,1,,didnt understand different dataset
46,violin,give a concert,0,english,
6,glove,for goalkeepers when they have to parry,0,english,
2163,rope,leash,0,english,
53,table,tinker on it,0,english,
35,violin,stop using car to move around the city,1,,didnt understand different dataset
37,wardrobe,tip over,0,english,
768,fork,stropharia,1,,random multi word
2191,box,D stepping stool,1,,mispell
215,nuclear box,drdnk,1,,mispell
287,nuclear box,t,1,,strip
51,chair,Put things on,1,,strip
44,tongs,Bend w,1,,strip
30045,brick,paperweight,0,english,
60928,can,mug,0,english,
249,knife,prideful krispies,1,,random multi word
547765,brick,gelotometer misadventures puritanly,1,,random multi word
268,wheelbarrow,Transport the earth of the hay of the cement stone of,0,english,
43,fork,I'm not sure.,1,,dont know
360862,can,mug,0,english,
30,stone,break,0,english,
114,knife,Transmitted knife,1,english,
259,hair dryer,thirds clothes,1,,random multi word
54,hair dryer,"I'm done trying, TBH.",1,,dont know
2057,rope,I have no idea.,1,,dont know
20098,box,retards,1,english,
46,shovel,move dirt,0,english,
19,wardrobe,Beats me.,1,,dont know
56,knife,tool,0,english,
281,knife,Open the can box,0,english,
6,bicycle,I've had enough lol,1,,dont know
48,nuclear box,diadelphous,1,,random multi word
113,fork,prick,0,english,
80,nuclear box,Goal when s,1,,strip
1368,stone,build away,0,english,
132,tin cans,Use it to heat the food,0,english,
48,stone,Strget,1,,mispell
10126,knife,harm,0,english,
6,paprika,wash,1,english,
132,box,moving,0,english,
44,flute,taking lessons,0,english,
1067,coat hangers,agete ties,1,,random multi word
595,brick,Buy cement,0,english,
16,nuclear box,Gunshot shooting,0,english,
30103,brick,construct stairs,0,english,
10177,knife,cut food,0,english,
1152,stone,operate,0,english,
297,fork,pierce someone,0,english,
312,stone,Lay the street,0,english,
189,wheelbarrow,Do the shopping,0,english,
1152,stone,Trash cans,1,,didnt understand different dataset
84,book,use as a tool to learn new things,0,english,
115,nuclear box,cord,1,english,
538647,can,conta,1,,strip
35,book,gain kno,1,,strip
136,bottle,fill it with liquids,0,english,
30078,brick,making a oven,0,english,
1025,barrel,Build interactive waste and recycling bins that engage in short conversations with people.,1,,didnt understand different dataset
189,fork,altoun fork,1,,random multi word
196,belt,Attached,0,english,
1,wheelbarrow,Carry things,0,english,
2123,box,deceased,1,,random multi word
60000,brick,Co puzl oye wyth him.,1,,mispell
167,tin cans,Trash basket,0,english,
11,hair dryer,meshuggah hematogenesis dry,1,,random multi word
296,nuclear box,Cup,0,english,
502,fork,poke someone,0,english,
30100,brick,holding a door open as a stopper,0,english,
2183,box,table stand,0,english,
621,can,cans as a ashtra,1,,strip
2061,box,hold clothes,0,english,
2126,rope,swDng,1,,mispell
10239,knife,chopping,0,english,
1488,can,In the ashtray.,1,,mispell
146,tin cans,company bus,1,,didnt understand different dataset
46,paprika,Eat,0,english,
194,fork,To puncture something,0,english,
2091,rope,you can use a   as a belt to hold your pants up,0,english,
73435,brick,constr,1,,strip
20036,box,mo,1,,strip
20018,box,Box for a computer,0,english,
1035,book,instruct,0,english,
10125,knife,as a kitchen implement in cooking activities,0,english,
20115,rope,tie someone's ankles to it,0,english,
45,brick,Intelligent brake assist,1,,didnt understand different dataset
39,basket,put dirty clothes,0,english,
10,brick,build a wall,0,english,
330,stone,aJartment,1,,mispell
1051,barrel,I'm not sure.,1,,dont know
180,knife,scraXe,1,,mispell
103,barrel,oil,0,english,
22,box,cutlips factors undertreat maxilla recycled,1,,random multi word
2181,box,play fort,0,english,
104,tin cans,Wastebasket,0,english,
31,nuclear box,PHONE,1,english,
277,nuclear box,Playing foot,0,english,
404,jar,Pen holder,0,english,
45,nuclear box,"idk anymore, sorry mate",1,,dont know
21,tire,driving,0,english,
148,belt,seat carriers,1,,didnt understand different dataset
6,drum,cloverleafs,1,,random multi word
246,nuclear box,Jam,0,english,
62,coat hangers,Appendicravatte,0,english,
35,tire,idc anymore,1,,dont know
30,hat,Cover yoCrself frTm tee suU,1,,mispell
453390,can,cup,0,english,
80,belt,idc anymore,1,,dont know
65,coat hangers,I give up.,1,,dont know
2019,box,Chair,0,english,
129,wheelbarrow,Carry water,0,english,
114,box,storing objects,0,english,
220,stone,building,0,english,
237,fork,fo,1,,strip
10147,brick,I'm exhausted with this.,1,,dont know
416,stone,Wall (outside),0,english,
73,chair,make a person sit,0,english,
10081,brick,Xoor holdxr,1,,mispell
33,nuclear box,craft,0,english,
155,tin cans,And the things in an organized form,0,english,
743,towel,dry,0,english,
1150,stone,Have waste bins in reasonable distances from each other all over town.,1,,didnt understand different dataset
30103,brick,hookum disinterestedly,1,,random multi word
1199,stone,Building block,0,english,
14,book,light,1,english,
30050,brick,breaking,1,,strip
100,tin cans,flower vase,0,english,
160,tin cans,Drinking bottles,0,english,
221,nuclear box,for ,1,,strip
221,nuclear box,for ,1,,strip
10115,knife,depatriate demoralizes rowport at dinner/any meal,1,,random multi word
2160,rope,I can make a swing,0,english,
247,knife,to throw in knife,0,english,
37,wardrobe,tip o,1,,strip
15,wheelbarrow,Do people,0,english,
20097,rope,offer courses in municipal council,1,,didnt understand different dataset
20115,rope,speciestaler kermesses's proteanly unsturdily xerogel,1,,random multi word
1005,coat hangers,hang clothes,0,english,
162,fork,spaghetti,0,english,
105217,brick,imposable tenace a fort,1,,random multi word
509,towel,attractive advertising that promotes the moral value of not littering,1,,didnt understand different dataset
114,knife,high precision Japanese knife,1,english,
2,knife,Open the bottle,0,english,
1241,stone,brick,0,english,
1012,barrel,container to preserve,0,english,
116,basket,fruit bowl,0,english,
10120,brick,building steps,0,english,
322,fork,to eat,0,english,
87,knife,Carve for loved signs in beech tree,0,english,
11,drum,make a s,1,,strip
80,shovel,windscoop borderer,1,,random multi word
329,fork,thamnium eat,1,,random multi word
1,trumpet,gnaw,0,english,
10206,knife,you can use a knife for a weapon,0,english,
108,glove,"Can't say, sry.",1,,dont know
30078,brick,geod murderee postmaximal procreating down,1,,random multi word
211,fork,peyk somewherI,1,,mispell
25,tire,for a bicycle to work,0,english,
